@RELATION avaluos 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.1399889, 19.4931556, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 0.780358116011, 0.850141600494, 0.789286787355, 0.603690999289, 0.58644993379, 0.68720270779, 0.58644993379, 0.787553204529, 0.603690999289, 2.0, 3.0, 269.98, 1.00, 1.00, 3668196.57, 4694000.0 
-99.1250056, 19.4822417, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 0.770714416291, 0.68720270779, 0.68720270779, 0.721863198447, 0.721863198447, 0.770714416291, 0.721863198447, 0.770714416291, 0.748747963665, 3.0, 3.0, 174.53, 1.00, 1.00, 2174833.45, 2236000.0 
-99.1294667, 19.5013972, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 190.87, 1.00, 1.00, 2900030.1, 3041000.0 
-99.0846972, 19.450975, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 6.0, 2, 5, 0.775246568529, 0.726588585574, 0.726588585574, 0.695729101873, 0.741036478126, 0.748747963665, 0.741036478126, 0.887142118911, 0.626324943526, 1.0, 3.0, 98.19, 1.00, 1.00, 2005747.25, 1855000.0 
-99.090804, 19.457745, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 3.0, 1, 1, 1.0, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.832259672167, 0.748747963665, 2.0, 4.0, 240.0, 1.00, 1.00, 2990180, 3072000.0 
-99.0858111, 19.4905861, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 4.0, 3, 5, 1.0, 0.854226124792, 0.854226124792, 0.780358116011, 0.854226124792, 1.0, 0.854226124792, 0.832259672167, 0.721863198447, 1.0, 4.0, 126.0, 1.00, 1.00, 1246488, 1260000.0 
-99.110464, 19.464416, 09, 005, 2, 3, 3.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 3.0, 1, 5, 1.0, 0.881110890011, 0.770714416291, 0.721863198447, 0.832259672167, 0.832259672167, 0.770714416291, 0.832259672167, 0.789286787355, 2.0, 4.0, 212.22, 1.00, 1.00, 2121580, 2202000.0 
-99.1404841, 19.5131191, 09, 005, 2, 2, 3.0, 4.0, 1.0, 0.81, 0.81, 1.0, 4.0, 4.0, 3.0, 6.0, 2, 5, 0.846984688157, 0.911166415268, 0.761538348705, 1.0, 0.663781727305, 1.0, 0.663781727305, 0.809810325396, 0.74357838523, 1.0, 3.0, 131.55, 0.80, 1.00, 1484237.08, 1660000.0 
-99.1052351, 19.4626641, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 3.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 0.622263370352, 0.622263370352, 0.693081040822, 0.789286787355, 1.0, 0.444443307725, 0.879493658646, 0.717258233047, 2.0, 5.0, 210.41, 1.00, 1.00, 1777527.06, 1880000.0 
-99.1281111, 19.5019194, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 0.743829651073, 0.812679078251, 0.805374906948, 0.768689462277, 0.58644993379, 0.603690999289, 0.58644993379, 0.872798495856, 0.760231117859, 2.0, 3.0, 171.04, 1.00, 1.00, 2798597.76, 3580000.0 
-99.1234391, 19.4745681, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.78, 0.78, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.885061471074, 0.82607975718, 0.82607975718, 0.760231117859, 0.721863198447, 0.73334635264, 0.721863198447, 0.705775078853, 0.714087473008, 2.0, 2.0, 134.06, 1.00, 1.00, 2602543.32, 2620000.0 
-99.0996811, 19.5098211, 09, 005, 2, 4, 4.0, 4.0, 1.0, 0.74, 0.74, 1.0, 3.0, 4.0, 3.0, 4.0, 2, 5, 0.838138005199, 0.907673940946, 0.751133822376, 0.839280022543, 0.850141600494, 0.854226124792, 0.850141600494, 0.547384913527, 0.686396805603, 0.0, 3.0, 65.41, 0.80, 1.00, 616160.55, 862000.0 
-99.0659091, 19.4559161, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.96, 0.96, 1.0, 5.0, 4.0, 3.0, 6.0, 1, 5, 1.0, 1.0, 1.0, 1.0, 0.782197570484, 1.0, 0.782197570484, 0.907351365311, 0.726007948654, 0.0, 4.0, 214.39, 1.00, 1.00, 2539220.20, 3565000.0 
-99.067437, 19.479861, 09, 005, 2, 3, 2.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 5.0, 1, 5, 1.0, 0.748747963665, 0.748747963665, 0.832259672167, 0.832259672167, 1.0, 0.832259672167, 0.881110890011, 0.832259672167, 1.0, 3.0, 232.0, 1.00, 0.80, 1288086, 1365000.0 
-99.087729, 19.458008, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 1, 0.832259672167, 0.881110890011, 0.748747963665, 0.805374906948, 0.832259672167, 0.832259672167, 0.832259672167, 0.881110890011, 0.748747963665, 4.0, 4.0, 229.44, 1.00, 1.00, 3311372.22, 3358000.0 
-99.0634501, 19.4599081, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.81, 0.81, 1.0, 5.0, 4.0, 3.0, 6.0, 1, 5, 1.0, 0.796954891591, 1.0, 1.0, 0.694978433228, 1.0, 1.0, 0.910097693013, 0.735785890089, 1.0, 3.0, 73.74, 1.00, 1.00, 1495514.12, 1720000.0 
-99.160348, 19.514648, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.85, 0.85, 1.0, 4.0, 4.0, 3.0, 4.0, 3, 5, 1.0, 0.770714416291, 0.770714416291, 0.770714416291, 0.748747963665, 1.0, 0.748747963665, 0.789286787355, 0.748747963665, 2.0, 3.0, 204.54, 1.00, 1.00, 2335786.55, 2627000.0 
-99.097272, 19.4727131, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.61, 0.61, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 1.0, 0.832259672167, 0.748747963665, 0.789286787355, 0.748747963665, 0.832259672167, 0.748747963665, 0.805374906948, 0.770714416291, 1.0, 3.0, 97.5, 1.00, 1.00, 1750508.5, 1775000.0 
-99.1374722, 19.4765833, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.74, 0.74, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 5, 0.888886615449, 1.0, 1.0, 0.471328072943, 1.0, 1.0, 1.0, 0.903077342637, 0.554839781444, 1.0, 3.0, 263.51, 1.00, 1.00, 2383696.8, 2530000.0 
-99.062375, 19.4645861, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.74, 0.74, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 5, 1.0, 0.705775078853, 0.511866896632, 0.730576531167, 0.603690999289, 0.603690999289, 0.603690999289, 0.764534501305, 0.73334635264, 1.0, 2.0, 97.37, 1.00, 1.00, 1400447.83, 1450000.0 
-99.13445, 19.493921, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.66, 0.66, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 1, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 0.748747963665, 3.0, 4.0, 306.0, 1.00, 1.00, 4065865.72, 5166000.0 
-99.1294167, 19.4742167, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.73, 0.73, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 163.36, 1.00, 0.80, 1587301, 1878000.0 
-99.0648667, 19.4505806, 09, 005, 2, 3, 2.0, 4.0, 1.0, 0.75, 1.0, 0.75, 4.0, 4.0, 3.0, 3.0, 2, 5, 0.881110890011, 0.799194991961, 0.471328072943, 0.760231117859, 0.482811227136, 0.57680623407, 0.799194991961, 1.0, 0.709169160416, 1.0, 2.0, 108.0, 1.00, 1.00, 0, 1440000.0 
-99.127298, 19.556417, 09, 005, 2, 3, 1.0, 4.0, 1.0, 0.74, 0.74, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 0.881110890011, 1.0, 0.698685861983, 1.0, 1.0, 1.0, 0.785439432282, 0.831048788329, 0.0, 2.0, 158.26, 1.00, 0.80, 1074640.44, 1075000.0 
-99.085951, 19.459474, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.832259672167, 0.881110890011, 0.748747963665, 0.748747963665, 0.554839781444, 0.832259672167, 0.554839781444, 0.832259672167, 0.748747963665, 2.0, 4.0, 220.33, 1.00, 1.00, 2159564.46, 2667000.0 
-99.1467444, 19.4855861, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.69, 0.75, 0.92, 4.0, 4.0, 3.0, 3.0, 1, 5, 1.0, 1.0, 1.0, 0.770714416291, 0.638351489946, 0.770714416291, 1.0, 1.0, 0.638351489946, 2.0, 5.0, 407.36, 1.00, 1.00, 4371183.33, 4746000.0 
-99.1468472, 19.5230611, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.64, 0.7, 0.92, 4.0, 4.0, 3.0, 4.0, 1, 5, 1.0, 1.0, 1.0, 0.832259672167, 0.638351489946, 0.854226124792, 1.0, 1.0, 0.721863198447, 3.0, 6.0, 380.67, 1.00, 1.00, 3783707.26, 4025000.0 
