@RELATION avaluosdepartamentos_entidad_09_municipio_004_clase_todos
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE VALOR_COMPARATIVO_INMUEBLE_M2 NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.2908861, 19.3722889, 09, 004, 4, 3, 4.0, 4.0, 1.0, 0.9, 0.9, 1.0, 4.0, 4.0, 3.0, 6.0, 3, 5, 2000.0, 1000.0, 2000.0, 330.0, 170.0, 960.0, 1340.0, 1210.0, 230.0, 1.0, 2.0, 78.24, 1.00, 1.00, 1115416, 18102.51, 1416000.0 
-99.2828083, 19.3623417, 09, 004, 4, 4, 3.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 2.0, 5.0, 2, 5, 900.0, 200.0, 300.0, 400.0, 200.0, 2000, 100.0, 500.0, 400.0, 3.0, 3.0, 144.0, 1.20, 1.00, 3664714.9, 26309.01, 3788000.0 
-99.268553, 19.360163, 09, 004, 4, 3, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 2.0, 5.0, 3, 5, 850.0, 2000.0, 2000.0, 2000, 2000.0, 300.0, 2000.0, 300.0, 2000.0, 2.0, 1.0, 82.03, 1.00, 1.00, 2251194.09, 38495.54, 3158000.0 
-99.271304, 19.366664, 09, 004, 4, 3, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 6.0, 3.0, 5.0, 3, 5, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2.0, 2.0, 71.2, 1.20, 1.00, 1811985.54, 35020, 2493000.0 
-99.268553, 19.360163, 09, 004, 4, 3, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 2.0, 5.0, 3, 5, 1000.0, 2000.0, 2000.0, 2000, 2000.0, 1000.0, 2000, 800.0, 2000.0, 2.0, 1.0, 64.96, 1.20, 1.00, 1995227.69, 39578.29, 2571000.0 
-99.2911361, 19.3723011, 09, 004, 4, 3, 3.0, 4.0, 1.0, 0.88, 0.88, 1.0, 4.0, 4.0, 13.0, 4.0, 3, 5, 2000.0, 540.0, 540.0, 490.0, 2000, 1970.0, 540.0, 885.0, 550.0, 1.0, 2.0, 78.24, 1.00, 1.00, 1343460.39, 19074.03, 1418000.0 
-99.2718673, 19.3668625, 09, 004, 4, 4, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 2.0, 6.0, 1, 5, 300.0, 300.0, 300.0, 700.0, 10.0, 1000.0, 10.0, 300.0, 300.0, 3.0, 2.0, 131.77, 1.20, 1.00, 3908063.2, 34358.71, 4533000.0 
-99.2933278, 19.367625, 09, 004, 4, 3, 4.0, 4.0, 1.0, 0.81, 0.81, 1.0, 4.0, 5.0, 3.0, 5.0, 2, 5, 2000, 367.0, 367.0, 310.0, 450.0, 563.0, 450.0, 621.0, 240.0, 2.0, 2.0, 59.32, 1.00, 1.00, 814639.28, 16679.42, 989000.0 
-99.2706919, 19.3593669, 09, 004, 4, 3, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 13.0, 3.0, 3, 5, 2000, 2000, 2000, 1800.0, 500.0, 500.0, 2000, 2000, 1000.0, 2.0, 3.0, 181.89, 1.00, 1.00, 4039952.47, 34147.00, 6211000.0 
-99.2988611, 19.3497833, 09, 004, 4, 4, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 3.0, 5.0, 3, 5, 2000, 2000, 200.0, 1600.0, 1750.0, 1900.0, 1750.0, 1900.0, 1800.0, 2.0, 1.0, 68.68, 1.20, 1.00, 1844378.28, 32609.92, 2240000.0 
-99.268553, 19.360163, 09, 004, 4, 3, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 2.0, 5.0, 3, 5, 850.0, 2000.0, 2000.0, 2000, 2000.0, 300.0, 2000.0, 300.0, 2000.0, 2.0, 1.0, 82.03, 1.00, 1.00, 2486323.56, 48890.44, 4010000.0 
-99.269675, 19.3594333, 09, 004, 4, 4, 4.0, 6.0, 1.0, 0.94, 0.94, 1.0, 5.0, 6.0, 2.0, 3.0, 3, 5, 2000.0, 2000.0, 2000.0, 2000, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 1.0, 1.0, 104.62, 1.00, 1.00, 2516964.52, 34504.67, 3610000.0 
