Fecha_hora_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,promedio_factual,promedio_regresion,error_avg,error_min,error_max,error_dstd
"Thursday, 20. October 2016 11:44PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold1_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.925498962402344,123,13,250,8,1,3,1,32432.875384615385,32057.548245034388,6059.3424426896627,1202.5482450343843,12133.348245034384,3689.6997868323356
"Thursday, 20. October 2016 11:44PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold2_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,16.411540031433105,123,13,250,8,1,3,1,31847.581538461538,32196.700912154301,3683.1967125797764,103.29908784569852,10999.750912154301,3117.572402910368
"Thursday, 20. October 2016 11:44PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold3_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,16.372886896133423,123,13,250,8,1,3,1,30023.317692307694,1.9407165897042412e-36,30023.317692307694,20402.0,42663.540000000001,6584.935878525672
"Thursday, 20. October 2016 11:45PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold4_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.386682033538818,123,13,250,8,1,3,1,34860.756923076922,7.6182639998903773e-34,34860.756923076922,29500.0,42197.199999999997,3380.598498962947
"Thursday, 20. October 2016 11:45PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold5_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.866564989089966,123,13,250,8,1,3,1,33425.115384615383,31379.943889099311,4855.5302135619095,524.94388909931149,13162.443889099311,3240.4288500383195
"Thursday, 20. October 2016 11:45PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold6_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.868335008621216,123,13,250,8,1,3,1,32476.416923076922,32153.914724639475,3853.9311750277334,66.085275360528613,9860.0547246394708,2987.994040110669
"Thursday, 20. October 2016 11:46PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold7_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.860697031021118,123,13,250,8,1,3,1,32460.149230769232,32359.087644976033,3655.3486426941508,1489.087644976029,10087.05764497603,2325.8853465375305
"Thursday, 20. October 2016 11:46PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold8_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.780247926712036,123,13,250,8,1,3,1,30713.136923076927,32401.375902110765,7544.8427617008274,2494.2659021107647,12641.375902110765,3866.945338183566
"Thursday, 20. October 2016 11:46PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold9_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.720160007476807,123,13,250,8,1,3,1,30776.300769230766,32203.640643005983,8303.002456078304,20.34935699401467,17719.37935699401,5094.1109410560775
"Thursday, 20. October 2016 11:46PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold10_L1_H3,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.268786191940308,123,13,250,8,1,3,1,31945.830769230768,31962.466315965725,3872.8543319973633,112.57631596572173,9662.6463159657214,2971.6663928480093
