SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS,NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE
2244.31,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1222889,20.6751887,77723,2,4,35551,7850.00,343123.50
50.69,49.3,2,2,1,0,1,4,6,2,90,2,80,4,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,87.0966660,20.6616360,77723,2,4,39536,11100,547000
85,72.46,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1058625,20.6616784,77723,2,4,42945,10929.49,791950.85
52.32,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1069210,20.6617520,77723,2,4,19354,8958.98,419593.83
2040.73,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1220013,20.6760506,77723,2,4,67405,7850.00,343123.50
116.23,79.34,2,2,1,1,1,4,6,0,60,5,5,6,100,4,4,2000,2000,1300,1300,1400,800,0,2000,2000,300,300,1100,1100,900,700,1000,900,-87.0909361,20.6538667,77723,4,3,68425,11274,894479.16
46.81,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1066280,20.6021910,77723,2,4,48111,8787.13,411545.23
1573.99,40.41,1,1,1,0,0,3,6,0,60,4,120,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1228235,20.6762559,77723,2,4,62441,8120.00,328129.20
3288.59,40.41,1,1,1,0,0,3,6,0,60,4,132,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1233631,20.6754521,77723,2,4,62851,8120.00,328129.20
3288.59,43.71,1,1,1,0,0,3,6,0,60,4,122,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1231689,20.6757541,77723,2,4,62924,7850.00,343123.50
