LONGITUD, LATITUD, SUPERFICIE_VENDIBLE, NUMERO_ESTACIONAMIENTOS, NUMERO_RECAMARAS, FACTOR_RESULTANTE_PRIVATIVAS, FACTOR_EDAD_PRIVATIVAS, FACTOR_CONSERVACION_PRIVATIVAS, CVE_NIVEL_INFRAESTR_URBANA, CVE_NIVEL_EQUIPAMIENTO_URBANO, CVE_CLASE_INMUEBLE, CVE_CLASE_GENERAL_INMUEBLES_ZONA, CVE_NIVEL_SOCIO_ECONOMICO_ZONA, CVE_CLASIFICACION_ZONA, CVE_DENSIDAD_POBLACION, CVE_REF_PROXIMIDAD_URBANA, CVE_UBICACION_INMUEBLE_TERRENO, DISTANCIA_UNIVERSIDAD, DISTANCIA_CENTRO_DEPORTIVO, DISTANCIA_CANCHAS_DEPORTIVAS, DISTANCIA_MERCADOS, DISTANCIA_PARQUES, DISTANCIA_PLAZASPUBLICAS, DISTANCIA_JARDINES, DISTANCIA_SUPERMERCADOS, DISTANCIA_IGLESIA, FZO, FFR, IMPORTE_TOTAL_ENFOQUE_DE_COSTOS, VALOR_COMPARATIVO_INMUEBLE_M2, IMPORTE_VALOR_CONCLUIDO 
-100.3544472, 25.6651306, 151.62, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 1.0, 5.0, 1500.0, 900.0, 900.0, 600.0, 150.0, 150.0, 150.0, 600.0, 1000.0, 1.0, 1.0, 4576656.88, 32900.0, 4988000.0 
-100.3736801, 25.7000901, 97.91, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 3.0, 2.0, 5.0, 2000, 2500.0, 2000, 2000, 50.0, 2000, 300.0, 1000.0, 1500.0, 1.0, 1.0, 2471763.0, 28555.87, 2795900.0 
-100.215167, 25.82017, 81.33, 2.0, 2.0, 0.09, 0.91, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 1.0, 3.0, 1500.0, 1500.0, 500.0, 800.0, 100.0, 200.0, 100.0, 800.0, 800.0, 1.0, 1.0, 1625336.06, 9500.0, 2237000.0 
-100.354244, 25.6650527, 151.62, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 5.0, 5.0, 5.0, 2.0, 3.0, 2.0, 5.0, 2000, 2000, 2000, 720.0, 40.0, 720.0, 2000, 2000, 1100.0, 1.0, 1.0, 4129598.21, 32400.0, 4912000.0 
-100.3542611, 25.6643861, 122.26, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 1.0, 5.0, 1500.0, 900.0, 900.0, 600.0, 150.0, 150.0, 150.0, 600.0, 1000.0, 1.0, 1.0, 3854145.33, 33600.0, 4108000.0 
-100.3766614, 25.6893507, 148.87, 2.0, 3.0, 0.94, 0.94, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0, 2.0, 5.0, 1696.0, 1832.0, 58.0, 2000, 58.0, 2000, 58.0, 757.0, 847.0, 1.0, 1.0, 2020994.94, 18200.0, 2709000.0 
-100.376805, 25.7004725, 79.32, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 5.0, 5.0, 5.0, 2.0, 4.0, 2.0, 5.0, 2000, 2000, 200.0, 500.0, 500.0, 500.0, 200.0, 600.0, 1700.0, 1.0, 1.0, 2042309.8, 28300.0, 2245000.0 
-100.35401, 25.6650419, 122.26, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 5.0, 5.0, 5.0, 2.0, 3.0, 2.0, 5.0, 2000, 2000, 2000, 720.0, 40.0, 720.0, 2000, 2000, 1100.0, 1.0, 1.0, 4929534.55, 41100.0, 5025000.0 
-100.37372, 25.6819, 120.0, 2.0, 2.0, 0.13, 0.87, 1.0, 4.0, 1.0, 5.0, 5.0, 5.0, 3.0, 4.0, 2.0, 5.0, 1000.0, 2000, 1400.0, 1400.0, 450.0, 450.0, 450.0, 1400.0, 1300.0, 1.0, 1.0, 1821581.03, 8000.0, 2400000.0 
-100.3736801, 25.7000901, 90.55, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 3.0, 2.0, 5.0, 2000, 2500.0, 2000, 2000, 50.0, 2000, 300.0, 1000.0, 1500.0, 1.0, 1.0, 2081353.6, 27304.84, 2472500.0 
