Fecha_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,Promedio_costo_total,Error_promedio_costo_total,Promedio_costo_m2,Error_promedio_costo_m2,Error_min_costo_total,Error_max_costo_total,Error_varianza_costo_total,Error_desviacion_std_costo_total,Error_min_costo_m2,Error_max_costo_m2,Error_varianza_costo_m2,Error_desviacion_std_costo_m2
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold5_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,18.507057189941406,72,8,500,35,1,26,2,3252447.0838888888,1203782.2647514145,29175.348055555558,4004.5103605988461,7875.2061937944964,4464198.8464752436,907906679875.78479,952841.3718325756,93.418022699359426,15182.79106477755,9060710.4186572134,3010.101396740185
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold6_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,18.42734384536743,72,8,500,35,1,26,2,3199458.7877777778,979029.37477848888,29606.940833333338,3917.2138309579987,3127.5566299082711,5357963.3828681931,856372317952.79456,925403.8674831624,168.51224112573982,13524.422284260378,9889630.5265319757,3144.7782952907787
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold7_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,18.30122995376587,72,8,500,35,1,26,2,3228891.3181944443,938333.97252490697,29476.436944444446,3293.0647934025378,17115.893863696605,4823845.4163187928,886812449362.46667,941707.1993791205,55.812017126514547,11473.486107357516,8050750.5088190455,2837.384448540424
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold8_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,18.47777795791626,72,8,500,35,1,26,2,3097800.2308333335,874680.83095003001,29619.943888888887,3773.8135728762331,14415.718524763826,4279166.1314752363,850420253365.97253,922182.3319528371,12.951643547155982,17400.378356452842,11510632.690061206,3392.732333984101
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold9_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,19.626183032989502,72,8,500,35,1,26,2,3195317.5198611114,848688.17152009183,29205.686250000002,3371.5058603978268,34579.516084299423,4105766.243684398,786850617109.38879,887046.0061966283,27.483100864286826,16150.457983831502,11437763.529534582,3381.9762757202457
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold0_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,19.70079493522644,72,8,500,35,1,27,2,3188878.8987500002,932346.30412276543,29237.732083333332,3608.3025489991082,82266.89528137492,4050048.2319989176,692778976270.5415,832333.4525720695,38.551020815353695,17028.411834919334,9485550.7158891186,3079.8621261168687
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold1_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,20.96051001548767,72,8,500,35,1,27,2,3131633.4026388889,996722.52287890785,29064.086666666666,4236.9132163496424,23508.353398331907,4247384.3111936431,730716793210.72595,854819.7431100465,375.07288891233475,13672.203982472702,8340840.090020895,2888.051261667787
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold2_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.705118894577026,72,8,500,35,1,27,2,3192310.7302777781,909722.57573442999,28933.820416666669,3969.0146518610004,27410.392305464484,4011356.4518368286,713203105694.67517,844513.5319784256,62.751438191608031,12815.497048339283,7759100.7918643095,2785.5162523066188
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold3_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,21.37800097465515,72,8,500,35,1,27,2,3156379.3809722224,1116228.3624792018,29175.294444444447,4400.2186610996932,2162.9027227247134,4740467.7727227248,1126656308208.9314,1061440.6757840645,105.78143308714789,13484.23258422767,10859666.872990258,3295.4008668127553
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold4_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.600292205810547,72,8,500,35,1,27,2,3161577.8118055556,865306.58218187164,29441.04791666667,4260.3570508411858,7356.4740729862824,4653781.3859270141,716850648496.51819,846670.3304690192,25.349100490475394,14487.199100490476,9029053.4961746112,3004.838347760926
